Model,Dataset,Accuracy,Precision,Recall,F1,TN,FP,FN,TP
LOF,Train,0.5257,0.5179,0.5257,0.3971,2804,118,2522,122
LOF,Test,0.601,1.0,0.601,0.7508,4800,3187,0,0
LOF,Eval,0.7901,0.9019,0.7901,0.8404,6233,1329,343,62
One-Class SVM,Train,0.5232,0.5048,0.5232,0.3988,2778,144,2510,134
One-Class SVM,Test,0.9911,1.0,0.9911,0.9955,7916,71,0,0
One-Class SVM,Eval,0.9514,0.938,0.9514,0.9392,7507,55,332,73
Isolation Forest,Train,0.5589,0.6841,0.5589,0.444,2877,45,2410,234
Isolation Forest,Test,0.9851,1.0,0.9851,0.9925,7868,119,0,0
Isolation Forest,Eval,0.9521,0.9419,0.9521,0.9446,7470,92,290,115
Elliptic Envelope,Train,0.565,0.7147,0.565,0.4517,2894,28,2393,251
Elliptic Envelope,Test,0.984,1.0,0.984,0.9919,7859,128,0,0
Elliptic Envelope,Eval,0.95,0.9399,0.95,0.9432,7453,109,289,116
DBSCAN,Train,0.5435,0.7239,0.5435,0.4037,2914,8,2533,111
DBSCAN,Test,0.9919,1.0,0.9919,0.9959,7922,65,0,0
DBSCAN,Eval,0.9576,0.9529,0.9576,0.9451,7546,16,322,83
Naive Bayes,Train,0.657,0.7564,0.657,0.6107,941,23,607,266
Naive Bayes,Test,0.8381,1.0,0.8381,0.9119,6694,1293,0,0
Naive Bayes,Eval,0.8623,0.9386,0.8623,0.8926,6617,945,152,253
LSTM,Train,0.8792,0.882,0.8792,0.8786,896,68,154,719
LSTM,Test,0.9894,1.0,0.9894,0.9947,7902,85,0,0
LSTM,Eval,0.9856,0.9864,0.9856,0.9859,7485,77,38,367
CNN,Train,0.7594,0.7725,0.7594,0.7544,853,111,331,542
CNN,Test,0.9763,1.0,0.9763,0.988,7798,189,0,0
CNN,Eval,0.9546,0.9655,0.9546,0.9586,7285,277,85,320
CNN-LSTM,Train,0.9303,0.9315,0.9303,0.9304,878,86,42,831
CNN-LSTM,Test,0.9822,1.0,0.9822,0.991,7845,142,0,0
CNN-LSTM,Eval,0.9834,0.9855,0.9834,0.9841,7457,105,27,378
EEMTL-GRU,Train,0.9766,0.9766,0.9766,0.9766,942,22,21,852
EEMTL-GRU,Test,0.9861,1.0,0.9861,0.993,7876,111,0,0
EEMTL-GRU,Eval,0.9975,0.9975,0.9975,0.9975,7551,11,9,396
RandomForestClassifier,Train,0.9777,0.9778,0.9777,0.9777,937,27,14,859
RandomForestClassifier,Test,0.0,0.0,0.0,0.0,0,7987,0,0
RandomForestClassifier,Eval,0.128,0.9355,0.128,0.1501,626,6936,11,394
SVC,Train,0.9897,0.9898,0.9897,0.9897,947,17,2,871
SVC,Test,0.0,0.0,0.0,0.0,0,7987,0,0
SVC,Eval,0.116,0.9026,0.116,0.1329,549,7013,30,375
MLPClassifier,Train,0.9842,0.9845,0.9842,0.9842,938,26,3,870
MLPClassifier,Test,0.0,0.0,0.0,0.0,0,7987,0,0
MLPClassifier,Eval,0.118,0.9068,0.118,0.136,563,6999,28,377
DecisionTreeClassifier,Train,0.9717,0.9717,0.9717,0.9717,935,29,23,850
DecisionTreeClassifier,Test,0.0006,1.0,0.0006,0.0013,5,7982,0,0
DecisionTreeClassifier,Eval,0.1288,0.9191,0.1288,0.1536,644,6918,23,382
LinearDiscriminantAnalysis,Train,0.644,0.751,0.644,0.5908,943,21,633,240
LinearDiscriminantAnalysis,Test,0.9175,1.0,0.9175,0.957,7328,659,0,0
LinearDiscriminantAnalysis,Eval,0.9177,0.9399,0.9177,0.9272,7100,462,194,211
KNN,Train,0.9717,0.9717,0.9717,0.9717,934,30,22,851
KNN,Test,0.0,0.0,0.0,0.0,0,7987,0,0
KNN,Eval,0.1201,0.9213,0.1201,0.138,571,6991,19,386
